car_brand,no_year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(kmpl),engine(CC),max_power(BHP),torque(Nm),torque_lower(rpm),torque_upper(rpm),seats
Maruti,2,650000,30000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,115.0,4000.0,4000.0,5.0
Maruti,3,448000,30000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,90.0,3500.0,3500.0,5.0
Maruti,5,745000,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200.0,1750.0,1750.0,5.0
Maruti,2,1025000,9850,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,200.0,1750.0,1750.0,5.0
Maruti,5,630000,70000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,190.0,2000.0,2000.0,5.0
Maruti,8,450000,120000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,190.0,2000.0,2000.0,5.0
Maruti,9,450000,120000,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,130.0,4000.0,4000.0,7.0
Maruti,4,484999,10000,Petrol,Dealer,Manual,First Owner,23.1,998.0,67.04,90.0,3500.0,3500.0,5.0
Maruti,5,315000,32000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,69.0,3500.0,3500.0,5.0
Maruti,5,275000,38000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,69.0,3500.0,3500.0,5.0
Maruti,6,475000,78000,Diesel,Dealer,Manual,First Owner,21.6171368243242,1107.511402027027,70.58148711449091,133.12920152091263,2991.149133924799,2995.542881284326,5.1355574324324325
Maruti,4,280000,32000,Petrol,Dealer,Manual,First Owner,14.0,796.0,35.0,59.78,3000.0,3000.0,5.0
Maruti,11,225000,44000,LPG,Dealer,Manual,First Owner,26.2,998.0,58.2,77.0,3500.0,3500.0,5.0
Maruti,12,175000,55500,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,90.0,3500.0,3500.0,5.0
Maruti,5,600000,150000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,190.0,2000.0,2000.0,5.0
Maruti,13,120000,68000,Petrol,Dealer,Manual,Third Owner,19.7,796.0,46.3,62.0,3000.0,3000.0,5.0
Maruti,12,185000,77000,Petrol,Dealer,Manual,Second Owner,21.79,998.0,67.05,90.0,3500.0,3500.0,5.0
Maruti,2,615000,10000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,113.0,4200.0,4200.0,5.0
Maruti,5,270000,100000,Petrol,Individual,Manual,Third Owner,15.37,1196.0,73.0,101.0,3000.0,3000.0,7.0
Maruti,3,610000,35000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,115.0,4000.0,4000.0,5.0
Maruti,1,475000,13000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,90.0,3500.0,3500.0,5.0
Maruti,5,780000,60000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200.0,1750.0,1750.0,5.0
Maruti,4,595000,40000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,115.0,4000.0,4000.0,5.0
Maruti,4,440000,35000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,90.0,3500.0,3500.0,5.0
Maruti,11,300000,120000,Diesel,Individual,Manual,Second Owner,21.6171368243242,1107.511402027027,70.58148711449091,133.12920152091263,2991.149133924799,2995.542881284326,5.1355574324324325
Maruti,9,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,190.0,2000.0,2000.0,5.0
Maruti,6,360000,40000,Petrol,Individual,Manual,Second Owner,23.1,998.0,67.04,90.0,3500.0,3500.0,5.0
Maruti,13,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,62.0,3000.0,3000.0,5.0
Maruti,8,625000,90000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,200.0,1750.0,1750.0,7.0
Maruti,6,700000,110000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,200.0,1750.0,1750.0,7.0
Maruti,6,535000,40000,Diesel,Dealer,Manual,First Owner,26.21,1248.0,88.5,200.0,1750.0,1750.0,5.0
Maruti,7,599000,46100,Petrol,Dealer,Manual,First Owner,16.02,1373.0,93.7,130.0,4000.0,4000.0,7.0
Maruti,10,175000,11000,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,90.0,3500.0,3500.0,5.0
Maruti,9,340000,24300,Petrol,Dealer,Manual,First Owner,21.21,1197.0,81.8,113.0,4200.0,4200.0,5.0
Maruti,5,850000,20000,Petrol,Individual,Manual,First Owner,17.5,1373.0,91.1,130.0,4000.0,4000.0,7.0
Maruti,6,515000,36600,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,113.0,4200.0,4200.0,5.0
Maruti,6,390000,50000,Petrol,Individual,Automatic,Second Owner,20.51,998.0,67.0,90.0,3500.0,3500.0,5.0
Maruti,22,40000,40000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,59.0,2500.0,2500.0,4.0
Maruti,11,220000,120000,Diesel,Individual,Manual,First Owner,21.1,1248.0,73.9,113.0,4500.0,4500.0,5.0
Maruti,7,487000,35000,Petrol,Individual,Manual,First Owner,19.1,1197.0,85.8,114.0,4000.0,4000.0,5.0
Maruti,16,85000,90000,Petrol,Individual,Manual,First Owner,17.3,993.0,60.0,78.0,4500.0,4500.0,5.0
Maruti,11,215000,120600,Petrol,Individual,Manual,Second Owner,18.9,998.0,67.1,90.0,3500.0,3500.0,5.0
Maruti,5,459999,60000,Petrol,Individual,Manual,Second Owner,20.85,1197.0,83.14,115.0,4000.0,4000.0,5.0
Maruti,4,800000,37000,Diesel,Individual,Manual,First Owner,28.09,1248.0,88.5,200.0,1750.0,1750.0,5.0
Maruti,6,580000,70000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,200.0,1750.0,1750.0,7.0
Maruti,5,360000,50000,CNG,Individual,Manual,First Owner,26.6,998.0,58.16,77.0,3500.0,3500.0,5.0
Maruti,4,550000,50000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,115.0,4000.0,4000.0,5.0
Maruti,18,40000,90000,Petrol,Individual,Manual,Second Owner,21.6171368243242,1107.511402027027,70.58148711449091,133.12920152091263,2991.149133924799,2995.542881284326,5.1355574324324325
Maruti,3,420000,35000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,90.0,3500.0,3500.0,5.0
Maruti,4,550000,20000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,113.0,4200.0,4200.0,5.0
Maruti,3,270000,20000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,69.0,3500.0,3500.0,5.0
Maruti,3,700000,7800,Petrol,Individual,Automatic,First Owner,22.0,1197.0,81.8,113.0,4200.0,4200.0,5.0
Maruti,4,500000,20000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,113.0,4200.0,4200.0,5.0
Maruti,3,700000,50000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,190.0,2000.0,2000.0,5.0
Maruti,6,290000,60000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,90.0,3500.0,3500.0,5.0
Maruti,3,830000,5000,Petrol,Individual,Automatic,First Owner,21.4,1197.0,83.1,115.0,4000.0,4000.0,5.0
Maruti,10,160000,25000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,62.0,3000.0,3000.0,5.0
Maruti,4,775000,75000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200.0,1750.0,1750.0,5.0
Maruti,6,245000,40000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,69.0,3500.0,3500.0,5.0
Maruti,13,130000,120000,Petrol,Individual,Manual,Second Owner,21.6171368243242,1107.511402027027,70.58148711449091,133.12920152091263,2991.149133924799,2995.542881284326,5.1355574324324325
Maruti,5,350000,140000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,90.0,3500.0,3500.0,5.0
Maruti,11,250000,110000,Diesel,Individual,Manual,Second Owner,21.1,1248.0,73.9,190.0,2000.0,2000.0,5.0
Maruti,6,640000,80000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,200.0,1750.0,1750.0,7.0
Maruti,4,409999,13500,Petrol,Individual,Manual,First Owner,15.37,1196.0,73.0,101.0,3000.0,3000.0,5.0
Maruti,8,550000,70000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,190.0,2000.0,2000.0,5.0
Maruti,7,500000,120000,Diesel,Individual,Manual,Second Owner,23.4,1248.0,74.0,190.0,2000.0,2000.0,5.0
Maruti,5,1000000,70000,Diesel,Individual,Manual,First Owner,24.52,1248.0,88.5,200.0,1750.0,1750.0,7.0
Maruti,6,350000,100000,Petrol,Individual,Manual,First Owner,20.4,1197.0,83.11,113.0,4200.0,4200.0,5.0
Maruti,4,500000,75000,Diesel,Individual,Manual,First Owner,26.8,1248.0,74.0,190.0,2000.0,2000.0,5.0
Maruti,9,360000,158000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,190.0,2000.0,2000.0,5.0
Maruti,9,310000,120000,Diesel,Individual,Manual,First Owner,19.3,1248.0,73.9,190.0,2000.0,2000.0,5.0
Maruti,9,340000,110000,Diesel,Individual,Manual,First Owner,19.3,1248.0,73.9,190.0,2000.0,2000.0,5.0
Maruti,6,525000,20000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,115.0,4000.0,4000.0,5.0
Maruti,9,320000,193000,Diesel,Individual,Manual,First Owner,19.3,1248.0,73.9,190.0,2000.0,2000.0,5.0
Maruti,7,375000,80000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,113.0,4200.0,4200.0,5.0
Maruti,16,110000,45000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,62.0,3000.0,3000.0,5.0
Maruti,5,220000,35000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,59.0,2500.0,2500.0,8.0
Maruti,5,520000,20000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,113.0,4200.0,4200.0,5.0
Maruti,9,330000,50000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,85.8,114.0,4000.0,4000.0,5.0
Maruti,2,675000,16500,Petrol,Individual,Manual,First Owner,21.01,1197.0,81.8,113.0,4200.0,4200.0,5.0
Maruti,16,90000,99361,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,62.0,3000.0,3000.0,5.0
Maruti,4,650000,25000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,190.0,2000.0,2000.0,5.0
Maruti,7,409000,70000,Petrol,Individual,Manual,Second Owner,19.1,1197.0,85.8,114.0,4000.0,4000.0,5.0
Maruti,11,215000,70000,Petrol,Individual,Manual,Second Owner,21.6171368243242,1107.511402027027,70.58148711449091,133.12920152091263,2991.149133924799,2995.542881284326,5.1355574324324325
Maruti,7,400000,70000,Petrol,Individual,Manual,Second Owner,19.1,1197.0,85.8,114.0,4000.0,4000.0,5.0
Maruti,15,81000,80000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,59.0,2500.0,2500.0,4.0
Maruti,8,535000,90000,Petrol,Individual,Manual,Third Owner,16.02,1373.0,93.7,130.0,4000.0,4000.0,7.0
Maruti,4,409999,47000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,90.0,3500.0,3500.0,5.0
Maruti,5,650000,50000,Petrol,Individual,Automatic,First Owner,21.4,1197.0,83.1,115.0,4000.0,4000.0,5.0
Maruti,10,325000,58000,Petrol,Individual,Manual,Third Owner,16.1,1298.0,88.2,112.7,4500.0,4500.0,5.0
Maruti,9,420000,120000,Petrol,Individual,Automatic,First Owner,17.4,1197.0,85.8,114.0,4000.0,4000.0,5.0
Maruti,7,400000,50000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,113.0,4200.0,4200.0,5.0
Maruti,18,65000,60000,Petrol,Individual,Manual,Fourth & Above Owner,17.3,993.0,60.0,78.0,4500.0,4500.0,5.0
Maruti,4,351000,36000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,90.0,3500.0,3500.0,5.0
Maruti,10,185000,185000,Diesel,Individual,Manual,Third Owner,21.1,1248.0,73.9,190.0,2000.0,2000.0,5.0
Maruti,19,60000,100000,Petrol,Individual,Manual,Fourth & Above Owner,17.3,993.0,60.0,78.0,4500.0,4500.0,5.0
Maruti,14,85000,80000,Petrol,Individual,Manual,Second Owner,18.2,998.0,67.1,90.0,3500.0,3500.0,5.0
Maruti,16,85000,80000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,62.0,3000.0,3000.0,5.0
Maruti,10,265000,90000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,190.0,2000.0,2000.0,5.0
Maruti,11,130000,162000,Petrol,Individual,Manual,Second Owner,19.0,998.0,66.1,90.0,3500.0,3500.0,5.0
Maruti,8,480000,110000,Diesel,Individual,Manual,Third Owner,20.77,1248.0,88.76,200.0,1750.0,1750.0,7.0
Maruti,13,170000,120000,Diesel,Individual,Manual,Third Owner,17.8,1248.0,75.0,190.0,2000.0,2000.0,5.0
Maruti,16,89000,90000,Petrol,Individual,Manual,Second Owner,18.9,998.0,67.1,90.0,3500.0,3500.0,5.0
Maruti,3,610000,52000,Petrol,Dealer,Manual,First Owner,22.0,1197.0,81.8,113.0,4200.0,4200.0,5.0
Maruti,16,65000,35000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,90.0,3500.0,3500.0,5.0
Maruti,5,550000,60000,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,190.0,2000.0,2000.0,5.0
Maruti,8,225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.79,998.0,67.05,90.0,3500.0,3500.0,5.0
Maruti,3,740000,38817,Diesel,Dealer,Manual,First Owner,27.39,1248.0,74.0,190.0,2000.0,2000.0,5.0
Maruti,2,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197.0,81.8,113.0,4200.0,4200.0,5.0
Maruti,3,600000,69779,Petrol,Dealer,Automatic,First Owner,22.0,1197.0,81.8,113.0,4200.0,4200.0,5.0
Maruti,6,480000,90000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,190.0,2000.0,2000.0,5.0
Maruti,9,300000,100000,Diesel,Individual,Manual,Second Owner,21.5,1248.0,88.8,200.0,1750.0,1750.0,5.0
Maruti,5,240000,50000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,69.0,3500.0,3500.0,5.0
Maruti,4,750000,19000,Diesel,Individual,Automatic,First Owner,28.4,1248.0,74.02,190.0,2000.0,2000.0,5.0
Maruti,1,409999,35000,CNG,Individual,Manual,First Owner,20.88,1196.0,61.7,85.0,3000.0,3000.0,5.0
Maruti,7,215000,80000,Petrol,Individual,Manual,Second Owner,23.95,998.0,67.05,90.0,3500.0,3500.0,5.0
Maruti,11,150000,80000,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,90.0,3500.0,3500.0,5.0
Maruti,8,260000,120000,Petrol,Individual,Manual,Second Owner,15.1,1196.0,73.0,101.0,3000.0,3000.0,5.0
Maruti,11,160000,80000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,62.0,3000.0,3000.0,5.0
Maruti,4,900000,50000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,190.0,2000.0,2000.0,5.0
Maruti,12,130000,40000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,59.0,2500.0,2500.0,4.0
Maruti,8,530000,120000,Diesel,Individual,Manual,Second Owner,23.4,1248.0,74.0,190.0,2000.0,2000.0,5.0
Maruti,17,81000,80000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,59.0,2500.0,2500.0,4.0
Maruti,5,600000,47000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,190.0,2000.0,2000.0,5.0
Maruti,11,120000,70000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,59.0,2500.0,2500.0,4.0
Maruti,7,320000,50000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,90.0,3500.0,3500.0,5.0
Maruti,7,385000,25000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,90.0,3500.0,3500.0,5.0
Maruti,2,675000,10000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,113.0,4200.0,4200.0,5.0
Maruti,6,434999,50000,Petrol,Individual,Manual,Second Owner,20.4,1197.0,83.11,115.0,4000.0,4000.0,5.0
Maruti,4,735000,70000,Diesel,Individual,Manual,First Owner,27.39,1248.0,74.0,190.0,2000.0,2000.0,5.0
Maruti,4,800000,60000,Diesel,Individual,Manual,First Owner,23.65,1248.0,88.5,200.0,1750.0,1750.0,5.0
Maruti,5,600000,147000,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,190.0,2000.0,2000.0,5.0
Maruti,7,610000,21000,Petrol,Individual,Manual,First Owner,16.02,1373.0,93.7,130.0,4000.0,4000.0,7.0
Maruti,11,200000,65000,Petrol,Individual,Manual,Second Owner,19.0,998.0,66.1,90.0,3500.0,3500.0,5.0
Maruti,10,200000,80000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,90.0,3500.0,3500.0,5.0
Maruti,5,750000,80000,Diesel,Individual,Manual,First Owner,24.52,1248.0,88.5,200.0,1750.0,1750.0,7.0
Maruti,4,585000,90000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,190.0,2000.0,2000.0,5.0
Maruti,7,430000,80000,Diesel,Individual,Manual,Second Owner,25.2,1248.0,74.0,190.0,2000.0,2000.0,5.0
Maruti,7,250000,25000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,69.0,3500.0,3500.0,5.0
Maruti,5,285000,70000,Diesel,Individual,Manual,First Owner,27.62,793.0,47.0,125.0,2000.0,2000.0,5.0
Maruti,13,160000,123000,Petrol,Individual,Manual,Third Owner,17.5,1298.0,85.8,114.0,4000.0,4000.0,5.0
Maruti,2,700000,30000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,190.0,2000.0,2000.0,5.0
Maruti,5,660000,34000,Petrol,Individual,Manual,Second Owner,17.5,1373.0,91.1,130.0,4000.0,4000.0,7.0
Maruti,4,268000,25000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,69.0,3500.0,3500.0,5.0
Maruti,5,270000,50000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,69.0,3500.0,3500.0,5.0
Maruti,5,561000,30000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,190.0,2000.0,2000.0,5.0
Maruti,3,755000,15000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,190.0,2000.0,2000.0,5.0
Maruti,10,165000,90000,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,90.0,3500.0,3500.0,5.0
Maruti,13,190000,80000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,190.0,2000.0,2000.0,5.0
Maruti,11,330000,110000,Diesel,Individual,Manual,Second Owner,21.6171368243242,1107.511402027027,70.58148711449091,133.12920152091263,2991.149133924799,2995.542881284326,5.1355574324324325
Maruti,9,450000,30000,Petrol,Individual,Manual,First Owner,17.5,1197.0,85.8,114.0,4000.0,4000.0,5.0
Maruti,7,450000,30000,Petrol,Individual,Manual,First Owner,19.1,1197.0,85.8,114.0,4000.0,4000.0,5.0
Maruti,12,125000,60000,Petrol,Individual,Manual,Third Owner,19.7,796.0,46.3,62.0,3000.0,3000.0,5.0
Maruti,10,210000,46000,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,90.0,3500.0,3500.0,5.0
Maruti,6,600000,40000,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,130.0,4000.0,4000.0,7.0
Maruti,11,160000,50000,Petrol,Individual,Manual,First Owner,21.6171368243242,1107.511402027027,70.58148711449091,133.12920152091263,2991.149133924799,2995.542881284326,5.1355574324324325
Maruti,12,130000,70000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,62.0,3000.0,3000.0,5.0
Maruti,13,229999,50000,Diesel,Individual,Manual,Third Owner,21.6171368243242,1107.511402027027,70.58148711449091,133.12920152091263,2991.149133924799,2995.542881284326,5.1355574324324325
Maruti,19,140000,50000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,62.0,3000.0,3000.0,5.0
Maruti,6,236000,60000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,69.0,3500.0,3500.0,5.0
Maruti,6,390000,40000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,90.0,3500.0,3500.0,5.0
Maruti,12,275000,90000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,190.0,2000.0,2000.0,5.0
Maruti,4,775000,32000,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,200.0,1750.0,1750.0,5.0
Maruti,3,750000,5000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,200.0,1750.0,1750.0,5.0
Maruti,5,675000,52000,Diesel,Individual,Manual,First Owner,23.65,1248.0,88.5,200.0,1750.0,1750.0,5.0
Maruti,8,630000,120000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.8,200.0,1750.0,1750.0,7.0
Maruti,17,120000,120000,Petrol,Individual,Manual,Third Owner,18.9,998.0,67.1,90.0,3500.0,3500.0,5.0
Maruti,10,204999,97500,Petrol,Individual,Manual,First Owner,21.6171368243242,1107.511402027027,70.58148711449091,133.12920152091263,2991.149133924799,2995.542881284326,5.1355574324324325
Maruti,5,250000,50000,Petrol,Individual,Manual,Second Owner,24.7,796.0,47.3,69.0,3500.0,3500.0,5.0
Maruti,1,730000,1500,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,113.0,4200.0,4200.0,5.0
Maruti,6,400000,40000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,90.0,3500.0,3500.0,5.0
Maruti,11,225000,59549,Petrol,Dealer,Manual,First Owner,19.0,998.0,67.1,90.0,3500.0,3500.0,5.0
Maruti,11,200000,73730,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,90.0,3500.0,3500.0,5.0
Maruti,6,500000,150546,Petrol,Dealer,Manual,First Owner,22.0,1197.0,81.8,113.0,4200.0,4200.0,5.0
Maruti,6,370000,170000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,190.0,2000.0,2000.0,5.0
Maruti,8,200000,24000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,69.0,3500.0,3500.0,5.0
Maruti,4,800000,100000,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,200.0,1750.0,1750.0,7.0
Maruti,4,220000,40000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,59.0,2500.0,2500.0,8.0
Maruti,10,196000,110000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,90.0,3500.0,3500.0,5.0
Maruti,4,300000,30000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,90.0,3500.0,3500.0,5.0
Maruti,4,720000,80000,Diesel,Individual,Manual,First Owner,24.52,1248.0,88.5,200.0,1750.0,1750.0,7.0
Maruti,5,300000,25000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,90.0,3500.0,3500.0,5.0
Maruti,10,300000,70000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,190.0,2000.0,2000.0,5.0
Maruti,6,250000,52000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,90.0,3500.0,3500.0,5.0
Maruti,7,420000,80000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,190.0,2000.0,2000.0,5.0
Maruti,2,360000,25000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,90.0,3500.0,3500.0,5.0
Maruti,5,350000,80000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,90.0,3500.0,3500.0,5.0
Maruti,10,270000,40000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,90.0,3500.0,3500.0,5.0
Maruti,9,275000,20000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,90.0,3500.0,3500.0,5.0
Maruti,9,235000,98500,Petrol,Individual,Manual,Second Owner,19.0,998.0,66.1,90.0,3500.0,3500.0,5.0
